date,Product,Customer_name,Year,Month,Quarter,Purchase_amount
1/5/2018,110100570122--AMI,1006,2018,May,2,934
1/5/2018,110100570122--AMI,1010,2018,May,2,2100
1/5/2018,110100570122--AMI,1028,2018,May,2,-160
1/5/2018,110100570122--AMI,1031,2018,May,2,1869
1/5/2018,110100570122--AMI,1040,2018,May,2,3738
1/5/2018,110100570122--AMI,1068,2018,May,2,5257
1/5/2018,110100570122--AMI,1070,2018,May,2,1752
1/5/2018,110100570122--AMI,1099,2018,May,2,5257
1/5/2018,110100570122--AMI,1107,2018,May,2,525
1/5/2018,110100570122--AMI,1149,2018,May,2,175
1/5/2018,110100570122--AMI,1167,2018,May,2,700
1/5/2018,110100570122--AMI,1172,2018,May,2,1752
1/5/2018,110100570122--AMI,1199,2018,May,2,1939
1/5/2018,110100570122--AMI,1211,2018,May,2,1168
1/5/2018,110100570122--AMI,1220,2018,May,2,175
1/5/2018,110100570122--AMI,1239,2018,May,2,1752
1/5/2018,110100570122--AMI,1265,2018,May,2,387
1/5/2018,110100570122--AMI,1271,2018,May,2,2100
1/5/2018,110100570122--AMI,1280,2018,May,2,350
1/5/2018,110100570122--AMI,1283,2018,May,2,1050
1/5/2018,110100570122--AMI,1284,2018,May,2,175
1/5/2018,110100570122--AMI,1291,2018,May,2,193
1/5/2018,110100570122--AMI,1293,2018,May,2,1163
1/5/2018,110100570122--AMI,1309,2018,May,2,1752
1/5/2018,110100570122--AMI,1310,2018,May,2,387
1/5/2018,110100570122--AMI,1482,2018,May,2,4717
1/6/2018,110100570122--AMI,1,2018,June,2,10500
1/6/2018,110100570122--AMI,9,2018,June,2,875
1/6/2018,110100570122--AMI,14,2018,June,2,525
1/6/2018,110100570122--AMI,15,2018,June,2,2275
1/6/2018,110100570122--AMI,19,2018,June,2,875
1/6/2018,110100570122--AMI,23,2018,June,2,5250
1/6/2018,110100570122--AMI,37,2018,June,2,5250
1/6/2018,110100570122--AMI,39,2018,June,2,1750
1/6/2018,110100570122--AMI,52,2018,June,2,7000
1/6/2018,110100570122--AMI,54,2018,June,2,12250
1/6/2018,110100570122--AMI,63,2018,June,2,875
1/6/2018,110100570122--AMI,64,2018,June,2,1750
1/6/2018,110100570122--AMI,72,2018,June,2,2100
1/6/2018,110100570122--AMI,77,2018,June,2,7000
1/6/2018,110100570122--AMI,83,2018,June,2,350
1/6/2018,110100570122--AMI,86,2018,June,2,1050
1/6/2018,110100570122--AMI,90,2018,June,2,875
1/6/2018,110100570122--AMI,91,2018,June,2,350
1/6/2018,110100570122--AMI,92,2018,June,2,7000
1/6/2018,110100570122--AMI,97,2018,June,2,14000
1/6/2018,110100570122--AMI,99,2018,June,2,1750
1/6/2018,110100570122--AMI,118,2018,June,2,12250
1/6/2018,110100570122--AMI,121,2018,June,2,700
1/6/2018,110100570122--AMI,126,2018,June,2,350
1/6/2018,110100570122--AMI,138,2018,June,2,5250
1/6/2018,110100570122--AMI,159,2018,June,2,350
1/6/2018,110100570122--AMI,160,2018,June,2,7000
1/6/2018,110100570122--AMI,172,2018,June,2,7000
1/6/2018,110100570122--AMI,177,2018,June,2,3150
1/6/2018,110100570122--AMI,178,2018,June,2,2100
1/6/2018,110100570122--AMI,181,2018,June,2,700
1/6/2018,110100570122--AMI,184,2018,June,2,1750
1/6/2018,110100570122--AMI,190,2018,June,2,3500
1/6/2018,110100570122--AMI,200,2018,June,2,5250
1/6/2018,110100570122--AMI,201,2018,June,2,875
1/6/2018,110100570122--AMI,203,2018,June,2,3500
1/6/2018,110100570122--AMI,204,2018,June,2,1750
1/6/2018,110100570122--AMI,217,2018,June,2,3150
1/6/2018,110100570122--AMI,218,2018,June,2,1750
1/6/2018,110100570122--AMI,219,2018,June,2,7000
1/6/2018,110100570122--AMI,220,2018,June,2,3500
1/6/2018,110100570122--AMI,235,2018,June,2,9450
1/6/2018,110100570122--AMI,237,2018,June,2,10500
1/6/2018,110100570122--AMI,238,2018,June,2,8750
1/6/2018,110100570122--AMI,239,2018,June,2,5250
1/6/2018,110100570122--AMI,241,2018,June,2,1750
1/6/2018,110100570122--AMI,244,2018,June,2,1225
1/6/2018,110100570122--AMI,249,2018,June,2,350
1/6/2018,110100570122--AMI,251,2018,June,2,7000
1/6/2018,110100570122--AMI,253,2018,June,2,5250
1/6/2018,110100570122--AMI,259,2018,June,2,1575
1/6/2018,110100570122--AMI,265,2018,June,2,1750
1/6/2018,110100570122--AMI,270,2018,June,2,700
1/6/2018,110100570122--AMI,277,2018,June,2,1400
1/6/2018,110100570122--AMI,278,2018,June,2,5250
1/6/2018,110100570122--AMI,279,2018,June,2,2100
1/6/2018,110100570122--AMI,293,2018,June,2,1750
1/6/2018,110100570122--AMI,298,2018,June,2,1750
1/6/2018,110100570122--AMI,305,2018,June,2,3500
1/6/2018,110100570122--AMI,309,2018,June,2,2625
1/6/2018,110100570122--AMI,316,2018,June,2,875
1/6/2018,110100570122--AMI,319,2018,June,2,1050
1/6/2018,110100570122--AMI,324,2018,June,2,875
1/6/2018,110100570122--AMI,327,2018,June,2,350
1/6/2018,110100570122--AMI,328,2018,June,2,7000
1/6/2018,110100570122--AMI,329,2018,June,2,1750
1/6/2018,110100570122--AMI,337,2018,June,2,5250
1/6/2018,110100570122--AMI,338,2018,June,2,4375
1/6/2018,110100570122--AMI,339,2018,June,2,1225
1/6/2018,110100570122--AMI,341,2018,June,2,1575
1/6/2018,110100570122--AMI,342,2018,June,2,3500
1/6/2018,110100570122--AMI,349,2018,June,2,28000
1/6/2018,110100570122--AMI,370,2018,June,2,1750
1/6/2018,110100570122--AMI,377,2018,June,2,2100
1/6/2018,110100570122--AMI,380,2018,June,2,5250
1/6/2018,110100570122--AMI,381,2018,June,2,3150
1/6/2018,110100570122--AMI,382,2018,June,2,875
1/6/2018,110100570122--AMI,383,2018,June,2,1225
1/6/2018,110100570122--AMI,386,2018,June,2,350
1/6/2018,110100570122--AMI,389,2018,June,2,1750
1/6/2018,110100570122--AMI,400,2018,June,2,1750
1/6/2018,110100570122--AMI,406,2018,June,2,1750
1/6/2018,110100570122--AMI,411,2018,June,2,1750
1/6/2018,110100570122--AMI,414,2018,June,2,700
1/6/2018,110100570122--AMI,423,2018,June,2,5250
1/6/2018,110100570122--AMI,424,2018,June,2,5250
1/6/2018,110100570122--AMI,436,2018,June,2,3500
1/6/2018,110100570122--AMI,445,2018,June,2,5250
1/6/2018,110100570122--AMI,446,2018,June,2,1225
1/6/2018,110100570122--AMI,448,2018,June,2,3500
1/6/2018,110100570122--AMI,460,2018,June,2,1050
1/6/2018,110100570122--AMI,470,2018,June,2,8750
1/6/2018,110100570122--AMI,474,2018,June,2,1225
1/6/2018,110100570122--AMI,480,2018,June,2,2100
1/6/2018,110100570122--AMI,481,2018,June,2,1050
1/6/2018,110100570122--AMI,485,2018,June,2,875
1/6/2018,110100570122--AMI,489,2018,June,2,5250
1/6/2018,110100570122--AMI,490,2018,June,2,3500
1/6/2018,110100570122--AMI,494,2018,June,2,1750
1/6/2018,110100570122--AMI,496,2018,June,2,350
1/6/2018,110100570122--AMI,497,2018,June,2,8750
1/6/2018,110100570122--AMI,499,2018,June,2,3500
1/6/2018,110100570122--AMI,500,2018,June,2,875
1/6/2018,110100570122--AMI,501,2018,June,2,2100
1/6/2018,110100570122--AMI,502,2018,June,2,875
1/6/2018,110100570122--AMI,506,2018,June,2,1750
1/6/2018,110100570122--AMI,509,2018,June,2,7000
1/6/2018,110100570122--AMI,514,2018,June,2,-350
1/6/2018,110100570122--AMI,516,2018,June,2,525
1/6/2018,110100570122--AMI,518,2018,June,2,14000
1/6/2018,110100570122--AMI,519,2018,June,2,1050
1/6/2018,110100570122--AMI,521,2018,June,2,3500
1/6/2018,110100570122--AMI,522,2018,June,2,2625
1/6/2018,110100570122--AMI,530,2018,June,2,350
1/6/2018,110100570122--AMI,532,2018,June,2,525
1/6/2018,110100570122--AMI,536,2018,June,2,175
1/6/2018,110100570122--AMI,537,2018,June,2,2100
1/6/2018,110100570122--AMI,543,2018,June,2,14000
1/6/2018,110100570122--AMI,544,2018,June,2,3500
1/6/2018,110100570122--AMI,545,2018,June,2,7000
1/6/2018,110100570122--AMI,562,2018,June,2,9450
1/6/2018,110100570122--AMI,564,2018,June,2,21000
1/6/2018,110100570122--AMI,566,2018,June,2,3500
1/6/2018,110100570122--AMI,567,2018,June,2,3150
1/6/2018,110100570122--AMI,569,2018,June,2,1750
1/6/2018,110100570122--AMI,575,2018,June,2,5250
1/6/2018,110100570122--AMI,577,2018,June,2,350
1/6/2018,110100570122--AMI,578,2018,June,2,10500
1/6/2018,110100570122--AMI,587,2018,June,2,3500
1/6/2018,110100570122--AMI,588,2018,June,2,1750
1/6/2018,110100570122--AMI,589,2018,June,2,5250
1/6/2018,110100570122--AMI,590,2018,June,2,3500
1/6/2018,110100570122--AMI,597,2018,June,2,7000
1/6/2018,110100570122--AMI,599,2018,June,2,2100
1/6/2018,110100570122--AMI,603,2018,June,2,1750
1/6/2018,110100570122--AMI,606,2018,June,2,10500
1/6/2018,110100570122--AMI,613,2018,June,2,2625
1/6/2018,110100570122--AMI,617,2018,June,2,1050
1/6/2018,110100570122--AMI,618,2018,June,2,3500
