x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,Y 10 min,Y 15 min,Y 20 min,Y 30 min,Y 45 min,Y 60 min
Class 2,Salt,Low,High,0.00,0.56,0.72,9.6,2.2,8.2,9.95,2.5,0.213,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.5,255.39,80,500,8,0.55,0.85,PVA,3,0.488,0.645,300,Round,7.40,50 rpm,SLS,0.25,75.83,89.91,91.12,98.58,99.13,99.27
Class 2,Salt,Low,High,0.00,0.56,0.72,10.1,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,17.67,255.39,80,500,8,0.43,0.85,PVA,3,0.476,0.645,300,Round,7.81,50 rpm,SLS,0.25,67.69,86.46,93.88,97.12,99.31,99.99
Class 2,Salt,Low,High,0.00,0.56,0.72,7,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,18.403,1632.80,300,1000,8,0.71,0.85,PVA,3,0.581,0.748,300,Round,6.04,50 rpm,SLS,0.25,67.36,87.88,92.53,96.53,100,100
Class 2,Salt,Low,High,0.00,0.56,0.72,7,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,18.403,1632.80,300,1000,8,0.71,0.85,PVA,3,0.581,0.748,300,Round,6.04,50 rpm,SLS,0.25,78.83,87.84,91.9,95.27,100,100
Class 2,Salt,Low,High,0.00,0.56,0.72,7,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,18.403,1632.80,300,1000,8,0.71,0.85,PVA,3,0.581,0.748,300,Round,6.04,50 rpm,SLS,0.25,80.09,87.67,90.8,93.32,100,100
Class 2,Salt,Low,High,0.00,0.56,0.72,7,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,18.403,1632.80,300,1000,8,0.71,0.85,PVA,3,0.581,0.748,300,Round,6.04,50 rpm,SLS,0.25,77.32,89.68,94,97.61,100,100
Class 2,Salt,Low,High,0.00,0.56,0.72,7,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,18.403,1632.80,300,1000,8,0.71,0.85,PVA,3,0.581,0.748,300,Round,6.04,50 rpm,SLS,0.25,79.28,88.28,92.36,95.37,100,100
Class 2,Salt,Low,High,0.00,0.56,0.72,7,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,18.403,1632.80,300,1000,8,0.71,0.85,PVA,3,0.581,0.748,300,Round,6.04,50 rpm,SLS,0.25,78.49,85.49,88.92,91.83,100,100
Class 2,Salt,Low,High,0.00,0.56,0.72,7,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,18.403,1632.80,300,1000,8,0.71,0.85,PVA,3,0.581,0.748,300,Round,6.04,50 rpm,SLS,0.25,74.59,88.25,93.22,97.52,100,100
Class 2,Salt,Low,High,0.00,0.56,0.72,7,2.2,8.2,9.95,2.5,0.217,0.345,17.53,0.00,0.00,48.47,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,18.403,1632.80,300,1000,8,0.71,0.85,PVA,3,0.581,0.748,300,Round,6.04,50 rpm,SLS,0.25,78.59,88.65,92.76,96.25,100,100
